setup_date,breakout_date,ticker,company_name,setup_high,setup_close,breakout_open,breakout_high,breakout_close,entry_price,exit_price,success_binary,return_percentage,setup_mpi,setup_mpi_velocity,setup_mpi_trend,setup_ibs,setup_crt_velocity,setup_higher_hl,setup_valid_crt,setup_vw_range_percentile
2025-02-03,2025-02-04,A17U.SI,CapLand Ascendas REIT,2.4338,2.4243,2.4243,2.4432,2.4337,2.4338,2.4337,0,-0.0,0.3,-0.1,Contracting,0.75,0.22,0,0,0.54
2025-02-04,2025-02-05,A17U.SI,CapLand Ascendas REIT,2.4432,2.4337,2.4338,2.462,2.4243,2.4432,2.4243,0,-0.007722,0.3,0.0,Flat,0.6667,0.22,1,0,0.3
2025-02-07,2025-02-10,A17U.SI,CapLand Ascendas REIT,2.5092,2.4903,2.4903,2.5092,2.4998,2.5092,2.4998,0,-0.003759,0.4,0.1,Expanding,0.6667,0.22,1,0,1.0
2025-02-21,2025-02-24,A17U.SI,CapLand Ascendas REIT,2.4681,2.4487,2.4389,2.4778,2.4584,2.4681,2.4584,0,-0.003937,0.3,-0.1,Contracting,0.3333,0.22,0,0,0.7
2025-02-24,2025-02-25,A17U.SI,CapLand Ascendas REIT,2.4778,2.4584,2.4778,2.4972,2.4778,2.4778,2.4778,0,-0.0,0.3,0.0,Flat,0.6667,0.26,0,1,0.96
2025-02-27,2025-02-28,A17U.SI,CapLand Ascendas REIT,2.4972,2.4875,2.4778,2.4972,2.4972,2.4972,2.4972,1,0.0,0.4,0.0,Flat,0.75,0.26,0,1,0.62
2025-03-04,2025-03-05,A17U.SI,CapLand Ascendas REIT,2.4972,2.4778,2.4778,2.5167,2.4778,2.4972,2.4778,0,-0.007782,0.4,0.0,Flat,0.3333,0.26,0,0,0.14
2025-03-10,2025-03-11,A17U.SI,CapLand Ascendas REIT,2.4681,2.4487,2.4292,2.4778,2.4681,2.4681,2.4681,1,0.0,0.3,-0.1,Contracting,0.5,0.06,0,1,0.66
2025-03-11,2025-03-12,A17U.SI,CapLand Ascendas REIT,2.4778,2.4681,2.4681,2.5361,2.5167,2.4778,2.5167,1,0.015686,0.3,0.0,Flat,0.8333,0.06,0,1,0.86
2025-03-12,2025-03-13,A17U.SI,CapLand Ascendas REIT,2.5361,2.5167,2.507,2.5458,2.5361,2.5361,2.5361,0,-0.0,0.4,0.1,Expanding,0.7778,0.06,1,1,1.0
2025-03-14,2025-03-17,A17U.SI,CapLand Ascendas REIT,2.5556,2.5458,2.5556,2.5653,2.5361,2.5556,2.5361,0,-0.007605,0.4,0.0,Flat,0.6667,0.06,1,1,0.18
2025-03-17,2025-03-18,A17U.SI,CapLand Ascendas REIT,2.5653,2.5361,2.5556,2.5653,2.5458,2.5653,2.5458,0,-0.007576,0.4,0.0,Flat,0.4,0.14,0,1,0.32
2025-03-18,2025-03-19,A17U.SI,CapLand Ascendas REIT,2.5653,2.5458,2.5556,2.575,2.5556,2.5653,2.5556,0,-0.003788,0.5,0.1,Expanding,0.3333,0.14,1,1,0.16
2025-03-19,2025-03-20,A17U.SI,CapLand Ascendas REIT,2.575,2.5556,2.5653,2.5944,2.5653,2.575,2.5653,0,-0.003774,0.6,0.1,Expanding,0.5,0.14,1,1,0.52
2025-03-21,2025-03-24,A17U.SI,CapLand Ascendas REIT,2.5847,2.5653,2.575,2.5847,2.575,2.5847,2.575,0,-0.003759,0.7,0.0,Flat,0.3333,0.14,0,1,0.62
